"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 대치동","900-55","0900","0055","노블레스빌","43.06","17.49","201205","6","37,000","6","2001","선릉로82길 46",""
"서울특별시 강남구 대치동","900-55","0900","0055","노블레스빌","50.34","20.44","201205","6","39,000","5","2001","선릉로82길 46",""
"서울특별시 강남구 대치동","900-55","0900","0055","노블레스빌","28.76","22.75","201205","6","39,000","4","2001","선릉로82길 46",""
"서울특별시 강남구 대치동","928-24","0928","0024","다인빌","63.82","37.16","201205","9","36,000","1","2003","삼성로63길 28",""
"서울특별시 강남구 대치동","978-19","0978","0019","동우빌라","48.24","28.13","201207","10","42,000","4","1992","삼성로72길 51-9",""
"서울특별시 강남구 대치동","976-2","0976","0002","럭키빌라","75.7","56.23","201209","25","59,500","2","1982","도곡로87길 20",""
"서울특별시 강남구 대치동","928-26","0928","0026","목련마을","59.98","28.87","201201","16","40,000","3","2002","삼성로63길 32",""
"서울특별시 강남구 대치동","972-10","0972","0010","반석주택가동","41.55","28.65","201212","26","22,000","1","1986","삼성로72길 42",""
"서울특별시 강남구 대치동","951-8","0951","0008","비취타운3,4동","47.3","35.03","201204","27","32,800","2","1986","영동대로85길 17-8",""
"서울특별시 강남구 대치동","933-1","0933","0001","삼형그린빌라","53.29","21.33","201202","7","35,000","1","1993","삼성로63길 33",""
